Supplier Name,Region,Country,Function,Service,Avg. Cost($),Rating,Average Delivery Time (days),Number of Escalations,Year,Resources,Delivery Frequency,Lead Time (days),Total Shipments,On-Time Delivery Rate (%),Customer Satisfaction Score,Return Rate (%),Contract Duration (months),Geographical Coverage,Technology Used
Infosys,Europe,Nigeria,HR,Applications Development,100k,98,4,4,2014,7912,Daily,3,620,96,10,4,14,Local,RFID
Genpact,Europe,Qatar,HR,Applications Development,100k,92,9,10,2018,4611,Daily,2,7459,91,10,9,12,International,RFID
Genpact,APAC,Martinique,Consulting,Mainframe services,150k,73,26,30,2014,7224,Daily,12,1684,72,7,20,20,National,Blockchain
Infosys,North America,Peru,IT & Infrastructure,Mainframe services,150k,87,20,43,2017,6925,Monthly,14,9559,69,6,20,26,Local,Blockchain
Infosys,North America,Namibia,Consulting,Applications Development,100k,84,5,2,2017,3664,Daily,2,6165,97,10,3,15,National,RFID
Genpact,Europe,Costa Rica,HR,Applications Development & Maintenance,150k,77,20,30,2016,8573,Monthly,7,6316,75,7,20,14,National,IoT Sensors
IBM,North America,Monaco,Consulting,Applications Development & Maintenance,150k,72,10,17,2016,6155,Monthly,7,3583,87,10,13,13,International,IoT Sensors
Genpact,APAC,Sudan,HR,Service Desk,100k,87,22,14,2017,8019,Weekly,15,9660,82,9,18,16,National,GPS Tracking
Infosys,APAC,Paraguay,IT & Infrastructure,Mainframe services,150k,90,28,35,2016,7916,Daily,12,9871,69,6,20,14,Local,Blockchain
Infosys,Europe,United States Minor Outlying Islands,HR,Service Desk,100k,73,22,26,2017,6573,Weekly,14,1927,76,7,20,16,National,GPS Tracking
Genpact,Europe,Libyan Arab Jamahiriya,IT & Infrastructure,Service Desk,100k,97,15,18,2017,9317,Daily,12,3358,84,10,16,20,Local,GPS Tracking
IBM,North America,Mauritania,IT & Infrastructure,Mainframe services,150k,73,28,49,2017,6038,Daily,18,4023,62,6,20,12,Local,Blockchain
Genpact,APAC,Germany,HR,Applications Development & Maintenance,150k,85,11,25,2016,5342,Monthly,5,8745,83,10,17,14,International,IoT Sensors
IBM,North America,Cape Verde,HR,Service Desk,100k,84,18,19,2014,5061,Daily,13,3781,82,9,18,18,Local,GPS Tracking
Genpact,APAC,El Salvador,IT & Infrastructure,Mainframe services,150k,92,28,27,2014,4750,Daily,19,1204,73,7,20,30,Local,Blockchain
Capgemini,APAC,Cape Verde,HR,Mainframe services,150k,74,23,28,2018,4981,Daily,18,7849,75,7,20,33,National,Blockchain
Capgemini,North America,Bosnia and Herzegovina,Consulting,Applications Development & Maintenance,150k,97,20,23,2014,2612,Daily,5,1093,79,7,20,23,National,IoT Sensors
Capgemini,APAC,Monaco,Consulting,Mainframe services,150k,75,23,26,2017,8579,Daily,13,4192,76,7,20,29,Local,Blockchain
Infosys,APAC,Australia,IT & Infrastructure,Service Desk,100k,75,15,30,2018,8956,Monthly,6,7986,78,7,20,20,Local,GPS Tracking
IBM,North America,Tajikistan,Consulting,Service Desk,100k,83,21,10,2018,3536,Daily,7,3211,85,10,15,18,National,GPS Tracking
IBM,APAC,Vietnam,IT & Infrastructure,Applications Development & Maintenance,150k,88,18,11,2018,9238,Daily,9,8801,86,10,14,35,Local,IoT Sensors
Infosys,Europe,Panama,IT & Infrastructure,Applications Development,100k,82,3,2,2014,5033,Monthly,1,9585,98,10,2,21,International,RFID
IBM,North America,Ethiopia,IT & Infrastructure,Applications Development,100k,91,7,10,2017,4910,Monthly,1,4451,92,10,8,21,National,RFID
Infosys,APAC,Cameroon,Consulting,Applications Development & Maintenance,150k,89,14,24,2014,2200,Monthly,10,8908,81,9,19,22,Local,IoT Sensors
IBM,North America,Namibia,IT & Infrastructure,Mainframe services,150k,84,21,48,2017,9666,Daily,15,228,66,6,20,19,International,Blockchain
Infosys,Europe,Bahrain,HR,Mainframe services,150k,74,22,28,2017,5616,Monthly,11,3550,75,7,20,15,International,Blockchain
